2016-04-11 12:08:09,959 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-11 12:08:09,978 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-04-11 12:08:10,032 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-11 12:08:10,049 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-04-11 12:09:50,165 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-11 12:09:50,189 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-04-11 12:09:50,200 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-11 12:09:50,223 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-04-11 12:10:28,866 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-11 12:10:28,885 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-04-11 12:10:28,890 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-11 12:10:28,910 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-04-11 12:10:49,717 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-11 12:10:49,753 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-04-11 12:10:49,762 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-11 12:10:49,779 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-04-11 12:13:26,754 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-11 12:13:26,799 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-04-11 12:13:26,864 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-11 12:13:26,881 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
